22.154693603515625,-112.69383239746094,-244.50318908691406,-52.37485122680664,-83.15364074707031,-235.51864624023438,-67.03746032714844,-78.22052001953125,-189.13833618164062,-123.3418960571289,-139.7796630859375,-46.28055191040039,-56.86471176147461,-149.05450439453125,-146.51864624023438,-157.3926544189453,0.0,0,O,F,I
43.74040985107422,-808.0242919921875,-1721.34423828125,-384.7867431640625,-579.0665283203125,-1583.658935546875,-560.4678344726562,-556.9625854492188,-1250.2039794921875,-902.4439697265625,-995.7612915039062,-421.6523742675781,-407.6081237792969,-1071.30908203125,-935.77685546875,-1167.0662841796875,0.0,0,O,F,I
-261.7900390625,-2786.15673828125,-5819.56640625,-1359.5877685546875,-1935.157470703125,-5082.06494140625,-2217.29052734375,-1906.0670166015625,-3929.873046875,-3175.167236328125,-3410.07080078125,-1775.4913330078125,-1403.9306640625,-3701.734130859375,-2814.253173828125,-4161.9677734375,0.0,0,O,F,I
-1517.866943359375,-6375.29248046875,-13052.5390625,-3183.498779296875,-4291.33447265625,-10779.6435546875,-5702.8037109375,-4327.74267578125,-8141.29833984375,-7401.1572265625,-7750.43212890625,-4776.5107421875,-3205.473876953125,-8481.5234375,-5519.29052734375,-9828.59765625,0.0,0,O,F,I
-4108.189453125,-11243.0166015625,-22596.76953125,-5727.1904296875,-7356.517578125,-17676.85546875,-11026.791015625,-7576.2109375,-13028.8955078125,-13251.1005859375,-13586.451171875,-9529.36328125,-5635.326171875,-14961.1728515625,-8298.697265625,-17804.4296875,0.0,0,O,F,I
-7751.3779296875,-16560.208984375,-32768.69921875,-8571.369140625,-10587.4189453125,-24440.482421875,-17379.21484375,-11088.6298828125,-17611.27734375,-19736.3671875,-19915.533203125,-15339.9658203125,-8271.3974609375,-22021.33984375,-10520.5087890625,-26778.16015625,0.0,0,O,F,I
-11602.4072265625,-21213.6171875,-41454.5625,-11114.8876953125,-13319.91796875,-29722.845703125,-23367.388671875,-14131.4130859375,-21003.322265625,-25477.794921875,-25415.908203125,-20922.384765625,-10559.923828125,-28172.955078125,-11801.6953125,-34838.203125,0.0,0,O,F,I
-14658.564453125,-24199.552734375,-46827.41796875,-12794.1748046875,-14986.6865234375,-32537.5078125,-27582.771484375,-16055.4892578125,-22627.185546875,-29210.779296875,-28907.283203125,-24938.3203125,-12009.7646484375,-32087.7578125,-12032.302734375,-40185.90625,0.0,0,O,F,I
-16209.77734375,-25123.48828125,-48273.98828125,-13361.611328125,-15410.45703125,-32801.61328125,-29267.546875,-16620.16796875,-22551.3828125,-30408.068359375,-29944.908203125,-26625.10546875,-12436.1455078125,-33257.875,-11485.2099609375,-42017.35546875,0.0,0,O,F,I
-16142.533203125,-24348.146484375,-46614.4296875,-12983.3583984375,-14867.671875,-31336.68359375,-28623.556640625,-16081.9814453125,-21434.861328125,-29482.693359375,-28986.251953125,-26110.357421875,-12029.931640625,-32184.193359375,-10682.3173828125,-40837.06640625,0.0,0,O,F,I
-14955.9794921875,-22692.19921875,-43445.97265625,-12093.7763671875,-13867.7470703125,-29259.357421875,-26596.359375,-14986.267578125,-20049.099609375,-27438.83984375,-27013.287109375,-24248.755859375,-11202.734375,-29966.029296875,-10035.79296875,-38013.78125,0.0,0,O,F,I
-13451.8017578125,-20952.12109375,-40214.53125,-11138.529296875,-12855.845703125,-27341.869140625,-24310.798828125,-13849.5244140625,-18840.47265625,-25282.09765625,-24958.27734375,-22108.6015625,-10346.3310546875,-27660.51171875,-9620.337890625,-34974.921875,0.0,0,O,F,I
-12269.6376953125,-19577.927734375,-37672.171875,-10383.798828125,-12055.2802734375,-25834.1328125,-22520.37109375,-12954.3212890625,-17883.11328125,-23594.064453125,-23335.62890625,-20431.13671875,-9675.080078125,-25854.287109375,-9286.9140625,-32583.333984375,0.0,0,O,F,I
-11602.2568359375,-18651.0078125,-35924.38671875,-9885.5654296875,-11497.55859375,-24702.693359375,-21404.44921875,-12346.65625,-17119.69140625,-22478.890625,-22234.736328125,-19403.005859375,-9222.3466796875,-24641.236328125,-8933.669921875,-31015.728515625,0.0,0,O,F,I
-11275.8017578125,-18051.99609375,-34764.46875,-9574.47265625,-11125.6484375,-23877.689453125,-20752.0546875,-11950.0361328125,-16534.22265625,-21771.048828125,-21519.029296875,-18817.701171875,-8927.658203125,-23853.400390625,-8606.162109375,-30036.029296875,0.0,0,O,F,I
-11045.7958984375,-17617.693359375,-33916.46484375,-9351.28125,-10856.8203125,-23269.828125,-20278.892578125,-11662.0966796875,-16104.4814453125,-21253.009765625,-20998.6484375,-18394.00390625,-8712.28125,-23273.892578125,-8364.205078125,-29322.681640625,0.0,0,O,F,I
-10799.2626953125,-17199.927734375,-33101.359375,-9132.740234375,-10598.255859375,-22698.162109375,-19804.12890625,-11385.8896484375,-15707.6259765625,-20745.94921875,-20495.00390625,-17963.7890625,-8504.349609375,-22712.74609375,-8149.41650390625,-28623.177734375,0.0,0,O,F,I
-10527.0419921875,-16680.724609375,-32078.9140625,-8861.044921875,-10268.7177734375,-21953.578125,-19238.587890625,-11040.259765625,-15178.8837890625,-20120.765625,-19866.599609375,-17456.87890625,-8245.1611328125,-22019.720703125,-7842.900390625,-27767.525390625,0.0,0,O,F,I
-10205.4296875,-16008.2314453125,-30752.154296875,-8511.6787109375,-9839.57421875,-20970.44140625,-18528.822265625,-10589.6943359375,-14470.79296875,-19319.337890625,-19056.4921875,-16827.46875,-7908.82666015625,-21126.515625,-7420.99609375,-26676.521484375,0.0,0,O,F,I
