Fz,FC1,FC2,C3,Cz,C4,CPz,Pz,Inst
3.77367963640087,-16.164209290065635,-4.892611985188457,-3.7101824897093323,-7.113154331338771,-2.486208462974326,-8.200526413480949,-6.104625985691643,g
0.3955019328754094,-19.998953766001403,-7.3430755716158504,-5.649824952127743,-9.066615324474604,-4.270579761828158,-8.145418390385252,-5.559632382489447,g
-2.4481237395282918,-22.84717597802162,-9.156156879478292,-7.14160649271424,-10.187162565720975,-5.695525328579761,-7.909044196455251,-4.9963615846855225,g
-4.359567859063566,-24.30863899362255,-9.931209211583514,-7.839224205858626,-10.059078193008206,-6.385293947505911,-7.182805316692042,-4.096011963109956,g
-5.0727315126430526,-24.160855048698735,-9.360612284455424,-7.4828573534752865,-8.924203552657579,-5.992181850419676,-5.706264752652553,-2.601554808776789,g
-4.632089408508812,-22.390745950408892,-7.476413484494847,-6.140029286946482,-7.078660795506434,-4.435484139088044,-3.520839442612729,-0.5911846839344788,g
-2.1889020245993906,-16.366506426424642,-2.2015889113238654,-2.6712409739936387,-2.7831655088229974,0.4300504578067949,0.794554478148751,2.7985816084752573,g
-1.322664288040846,-13.763811788455564,-0.37459979373782226,-1.804447811677474,-1.7752756574815478,2.4659934657212803,1.6095324774519633,2.988799558434847,g
-1.0090653396620612,-11.707315738220485,0.4769135189896939,-1.7940659968879729,-1.823716870157772,3.8043448797081965,1.3023686099034013,2.0529769084621394,g
-1.0090653396620608,-11.707315738220485,0.4769135189896934,-1.7940659968879729,-1.823716870157772,3.8043448797081965,1.302368609903402,2.0529769084621394,g
-1.0459622088431382,-9.841423864008721,0.6637582584747556,-2.2870084634625902,-2.2491238631923274,4.583584548563938,0.34550437616875374,0.55946948885078,g
-1.0780702990399917,-7.984089515353679,0.6993698779454143,-2.743317254041729,-2.5838823579092014,5.088995386874769,-0.6289243517694446,-0.740412461363521,g
-0.8137834297220398,-6.176636866581402,0.9857598042314242,-2.757778535650169,-2.946559189052692,5.540972035318289,-1.1797587155915654,-1.3342152149181856,g
-0.15948871866838338,-4.430547517139699,1.6487701854168144,-2.254932523358806,-3.406619424120683,5.997918816337952,-1.1924540348395531,-1.1638626479416032,g
0.758309822679595,-2.7829113245725003,2.5238616496473028,-1.4738388508827551,-3.636051055780244,6.355454343626297,-0.8131228556725153,-0.548849629612328,g
1.682350184851623,-1.495797841984921,3.288255821499731,-0.7754119515429035,-3.4630062561580686,6.438371201595236,-0.2676327260175594,0.07821242446037395,g
2.37726284737169,-0.8576720004434041,3.698816953624194,-0.40069638855110046,-3.186058443330853,6.162740939475086,0.3505285460022816,0.45911594174857784,g
2.7451196264387483,-0.7995765847259453,3.7646839334572078,-0.33454070656913315,-2.971608861600098,5.642884744342645,1.1837150267493575,0.6701859747113664,g
2.8347748962637973,-0.9683385911824836,3.697019990669575,-0.34952880271282183,-2.437302471427446,5.128203888753668,2.4836537030377426,1.0552139794082556,g
2.7714399427069414,-1.1464436405454372,3.703863378954788,-0.17819885389087203,-1.248282126239784,4.827377515853529,4.3389240933401965,1.9594680855027238,g
2.6724098571404697,-1.3449233637084366,3.837530123535484,0.30606706410955714,0.29636975858864323,4.777626073976673,6.506408497614183,3.4489435769711485,g
2.5788349908669446,-1.5425716025036131,3.982246134370462,1.0010362336140588,1.696873836325165,4.826133459284281,8.485462117826113,5.221903894650022,g
2.4212217798435973,-1.6602491594424684,3.926464272817148,1.6302476463738949,2.8715139718114595,4.696277495168399,9.743363458003163,6.7663609171142,g
2.0649459761385063,-1.7935166016028163,3.4945633607901128,1.927394055606117,3.879135559850611,4.135567953115833,9.946876933050415,7.6481879483178385,g
1.4485364822134748,-2.105276322651278,2.7372907718265553,1.8520231920408015,4.42519152800051,3.1262987176275003,9.136117186021997,7.76773706651827,g
0.7169256527364365,-2.3747639177228073,2.045346211115703,1.6764843497802218,4.250736819002718,2.001253484105837,7.769764922752373,7.4545300647221024,g
0.21103509535722598,-1.9640392806456433,1.9934450145426,1.8421640642018644,3.7729991096159403,1.2826885652713502,6.53292737895061,7.317240288713582,g
0.2930750242537483,-0.41028711091929715,2.9653423636147265,2.6613510909561677,3.736448612900124,1.315057354982001,5.9531469741441025,7.885467086118612,g
1.1376988998334698,2.1465819618171644,4.885042679608808,4.086422221079469,4.359802839679567,2.011464537026371,6.107615553948024,9.265679128525285,g
2.6322697984208996,5.209664388499236,7.287805489651345,5.7264490895473426,5.3615043704640275,2.931108868512563,6.66686666865363,11.08300417489183,g
4.420639760267349,8.31320536361629,9.615464992272194,7.090811973636898,6.648431870837571,3.572710512372293,7.194155044935964,12.756390952785392,g
6.037171048271349,11.018041175233998,11.462646798927825,7.865444985494603,8.31652842238,3.6179760382530484,7.411594552629728,13.863404954321359,g
7.06715511658449,12.846435881700305,12.648310825792752,8.026592045891169,10.02107191949683,2.994487045415087,7.2694943882704255,14.312884620309067,g
7.279968624318153,13.547626996471553,13.155802746097166,7.747641699390863,11.059296842845507,1.7984494341740287,6.867118750403904,14.264483152544397,g
6.6854882508420985,13.30613898472194,13.017831965279635,7.216594018569791,11.230365974754253,0.17055016901695597,6.323909496480028,13.935609007603677,g
5.494108557507202,12.469044769106606,12.233038421721837,6.5269416403914615,11.04924075718981,-1.7770038109927864,5.674240821919701,13.454587068854101,g
4.008582787730576,11.203212261632114,10.805071042590951,5.7079800612610505,10.965777237128187,-3.913096470414221,4.86739060334647,12.833971573374535,g
2.4928214871651795,9.610464296444665,8.86905213864715,4.814362884886494,10.920304073992012,-5.9816373336975435,3.890782278607477,12.047103282470793,g
1.054897418727482,7.960532318156604,6.712195825293672,3.940648862964779,10.814281315319912,-7.616359437847739,2.8720783706008706,11.110006296495632,g
-0.4022860575698606,6.476444982990818,4.587999862355792,3.1255976782588353,10.790572047308082,-8.54226975836375,1.998445981622479,10.061360241111233,g
-2.0940429826947877,4.998975161458047,2.520205024154985,2.2628539046544263,10.760058350421332,-8.769968604711696,1.3290340650843337,8.865164540145841,g
-4.13396726864422,3.218445849284886,0.3679963261830938,1.16270242916698,10.257744863554962,-8.54839104863755,0.7520262347473654,7.403730821909858,g
-6.324529346275531,1.2398833764911708,-1.883250521586448,-0.24184545763941223,9.21041595433021,-8.116440463354776,0.16021018302460374,5.649067633260048,g
-8.149464231687805,-0.36613093914406286,-3.9285387549005746,-1.7292758700238662,8.372681972565447,-7.524461144835219,-0.3765534164487203,3.845503389622645,g
-9.016499469202468,-1.0884097438838345,-5.258515119332545,-2.848414977272064,8.509316622652761,-6.688731034094036,-0.6552231497441686,2.453551827650726,g
-8.58805412800207,-0.8146218670824352,-5.466585926583855,-3.1875201958942547,9.48556123160053,-5.576795817755093,-0.536898480727694,1.8508077907327511,g
-6.96437097124309,0.3043783736076006,-4.490410058912831,-2.637288102523324,10.59657190297316,-4.329902824878107,-0.08396743338489392,2.0646377301137875,g
-4.6022895202746374,2.00119956818052,-2.6352205832761872,-1.4266216294666993,11.443086485432945,-3.231832078691455,0.4682677653268012,2.783146570530756,g
-2.0447660533511725,3.87756289572678,-0.37799568687643015,0.09254148854802553,12.028430660826022,-2.5494620900077214,0.8648758290146787,3.6181245389271774,g
0.3397632565583816,5.602186588913179,1.9210579010159035,1.7162198753994509,12.392089445681293,-2.34593447247535,1.0154533849231484,4.389490409711059,g
2.4283146596015337,7.26832553725877,4.173766490541009,3.476173949552661,12.771655488668417,-2.419401263212404,1.0822929042763512,5.21467055707471,g
4.205073540623986,9.281481670913735,6.43491909508919,5.479379988296602,13.852200080735622,-2.4534398289564647,1.3629510270492093,6.345010392026195,g
6.379338529089663,14.13245874158317,10.467972267433781,9.750476679744278,19.10107500022712,-1.8325289236451674,3.01103953665251,9.633413520393088,g
6.475180596079684,15.86012767163992,11.639874556982956,11.341420530134158,21.617439930173788,-1.2869461445428638,4.062338618827863,11.207894728774255,g
5.948179961018075,16.71286740135165,12.053605742895753,12.200537013930159,23.140181044356726,-0.6754741357438218,5.024522042770792,12.29393588800541,g
5.948179961018075,16.71286740135165,12.053605742895753,12.200537013930163,23.140181044356726,-0.6754741357438216,5.024522042770792,12.29393588800541,g
5.029680542568326,16.770562941732976,11.81594795579068,12.300019578754165,23.999863806203884,-0.0661693439692618,5.8429935968263065,12.772847135433826,g
3.9120662154744372,16.03645275970503,11.024652762785944,11.70999248223671,24.53628790440759,0.3393384736468398,6.4453094100532535,12.613366877489876,g
2.6149914890138626,14.467264520993368,9.642637395876111,10.454652670720943,24.602759058912014,0.22105174535601488,6.671657417922982,11.731029044329507,g
1.0557863956210924,12.205187657653061,7.592666243340977,8.525855588301237,23.999991904488734,-0.6591135759898785,6.385546050314737,10.042934049090828,g
-0.7367503224619212,9.540829813721608,4.966331559579805,6.056915284840213,22.76208780839263,-2.233539548496318,5.645530948681726,7.679919210165248,g
-2.4805344549172643,6.780816041169116,2.151294567233119,3.4598122587176205,20.835855694096388,-4.073603457530682,4.758355171803347,5.100485187617774,g
-3.7477142122227862,4.360291843982089,-0.2636016632242587,1.3243690803854964,18.08120459853082,-5.587521506273585,4.1483332981409,2.9332111792772473,g
-4.281524102507707,2.8857620309839875,-1.8043933214320134,0.09712673011325848,14.853109055046094,-6.393539474254117,4.100005248353345,1.6354237256328201,g
-4.256765065870487,2.7222404473856137,-2.435269907620216,-0.20223443924444381,12.029167356620762,-6.6134963880837905,4.530115611148661,1.2271412495812464,g
-4.208674761874681,3.6016657380152237,-2.566494802413974,0.04171703939421452,10.119117052876884,-6.797548685463129,5.000074594333308,1.3195083682936526,g
-4.623171162797818,4.946521312671705,-2.657842817142087,0.38114214852483846,8.810379157165066,-7.464626031434747,5.042948134471995,1.4465095450220904,g
-5.504154139867326,6.567329473966126,-2.755517330388616,0.6843360372402726,7.720792504107434,-8.63748882834457,4.560835299299241,1.4530169500450403,g
-6.2932806827173975,8.777982091294012,-2.4192429288521433,1.222352439758573,7.103280391798151,-9.812810406734696,3.9024345108624403,1.5949541061057715,g
-6.240901108802938,11.839797013985322,-1.1199915486432637,2.373541944048073,7.36182185498061,-10.409070743039294,3.513476878436144,2.224926557021699,g
-4.961814664924505,15.551152608767577,1.2553171774877183,4.182906379977461,8.287404456307188,-10.29659558283301,3.483134521549583,3.3305190217635414,g
-2.760936937189494,19.35809813401189,4.205098025239711,6.151576986951481,9.277594238507415,-9.9683645326022,3.400573065489213,4.368463895822146,g
-0.4785867793226203,22.574544631140007,6.845198559675299,7.46552831734417,10.00006502192327,-10.22143114181721,2.6328862983849617,4.581778185715637,g
1.0470795620778903,24.518788646973768,8.405061173349734,7.521204839202997,10.366966175652076,-11.572380838421823,0.8004137521766896,3.547431019640018,g
1.5118124163275495,24.85118186257758,8.6717207557588,6.347331135016882,10.19390202770234,-13.819013200295363,-1.8861645893791006,1.5090917148843224,g
1.2726763066869393,23.966438380511256,8.069399292495499,4.588252455652158,9.477320624316595,-16.097550860033714,-4.669082776241567,-0.7544159000902549,g
0.98777780106982,22.783802839332605,7.291248038056726,3.068344197837199,8.781778325092844,-17.43734552525064,-6.671201433973097,-2.408530546764284,g
1.0790381582885855,21.949970760124444,6.774796898429851,2.2882094548024963,8.717624160538206,-17.38653571809722,-7.411467054974163,-3.0331318836986574,g
1.4468765629976397,21.40048781211083,6.461933737999201,2.217672827373325,9.129079432748014,-16.199727101318906,-6.99985471625826,-2.757048777143678,g
1.6145198571602317,20.765836188960165,5.989005588206002,2.4698178668189126,9.376800576266433,-14.492259432409332,-5.879734919369152,-1.9987647666728403,g
1.1262285180486604,19.914208805818202,5.043974292132222,2.6497944927058192,9.339609944818019,-12.746750541082541,-4.410843822640364,-1.0678986390473508,g
-0.12243835293308329,18.921131139251205,3.569802798256853,2.600275260749613,9.503677452910997,-11.098173937802851,-2.685973342553931,0.023191978458630257,g
-1.8330323823869086,17.79757076916947,1.74721617182075,2.4032276642606294,10.049854058219605,-9.470698735764243,-0.6671811809405849,1.4108159045472763,g
-3.523568759697999,16.545634411526827,-0.1322207038356889,2.199660275399535,10.507130999029233,-7.840818745608651,1.5836394252530197,3.093445367969116,g
-4.832527860399926,15.32617811595558,-1.809738326422957,2.017718106335554,10.458988039995853,-6.386133156025695,3.810872464167562,4.809532977391557,g
-5.676545782496767,14.316329844049255,-3.1539312207607666,1.7693594671387172,10.028008710377373,-5.422052728937523,5.659054763489213,6.18470365310762,g
-6.163450997410151,13.530741631529688,-4.136275959830247,1.4013233167734906,9.499692986231642,-5.189744591676326,6.867368758155694,6.990694979206088,g
-6.382553125369011,13.012640881748471,-4.716816412873347,1.0237327114199914,9.034713902835193,-5.690190626523525,7.414912665955019,7.279738671490729,g
-6.292405496250129,13.03384722865727,-4.800371550537976,0.8626000573735301,8.955183890239436,-6.747667751924283,7.471870547383003,7.283631856519989,g
-5.7966365472815555,13.78855407962089,-4.347589573825428,1.0717024118525824,9.68367712295971,-8.25451348704387,7.161284149757738,7.1588951701499495,g
-4.890232709957747,14.977191183955053,-3.49337280488036,1.5896503996644895,11.009069440492727,-10.313376816016794,6.364061580910675,6.7904177719868715,g
-3.7024403676734265,16.030773106467144,-2.482285254071212,2.1878063552669227,11.938026802798817,-13.074466237664183,4.8186900390004075,5.848860342013573,g
