,Instructions,Face,Scene
0,g,g,g
1,I,M,I
2,I,M,O
3,I,F,I
4,I,F,I
5,I,M,I
6,I,M,I
7,I,F,I
8,I,F,I
9,I,M,I
10,I,F,I
11,I,M,I
12,I,M,I
13,I,F,I
14,I,M,I
15,I,F,I
16,I,M,I
17,I,M,I
18,I,F,I
19,I,F,I
20,I,F,I
21,I,F,I
22,I,M,I
23,I,M,I
24,I,M,I
25,I,M,I
26,I,M,I
27,I,F,I
28,I,M,I
29,I,F,I
30,I,F,I
31,I,M,I
32,I,M,O
33,I,F,I
34,I,F,I
35,I,M,I
36,I,M,I
37,I,F,O
38,I,F,I
39,I,M,O
40,I,F,I
