,Instructions,Face,Scene
0,g,g,g
1,O,F,I
2,O,M,O
3,O,F,O
4,O,F,O
5,O,F,O
6,O,F,O
7,O,F,O
8,O,M,O
9,O,M,O
10,O,M,O
11,O,F,O
12,O,F,O
13,O,M,O
14,O,F,O
15,O,F,I
16,O,M,O
17,O,F,O
18,O,M,O
19,O,F,O
20,O,M,O
21,O,M,I
22,O,M,O
23,O,F,O
24,O,M,O
25,O,M,O
26,O,M,O
27,O,F,O
28,O,M,O
29,O,M,O
30,O,M,O
31,O,F,O
32,O,M,O
33,O,F,I
34,O,F,O
35,O,F,O
36,O,M,O
37,O,F,O
38,O,F,O
39,O,F,O
40,O,M,O
