,Instructions,Face,Scene
0,g,g,g
1,F,F,O
2,F,F,I
3,F,F,O
4,F,F,O
5,F,M,O
6,F,F,O
7,F,F,O
8,F,F,O
9,F,F,I
10,F,F,O
11,F,F,I
12,F,F,I
13,F,F,I
14,F,F,I
15,F,F,I
16,F,F,I
17,F,F,I
18,F,M,I
19,F,F,O
20,F,F,O
21,F,F,I
22,F,F,I
23,F,F,O
24,F,F,O
25,F,F,O
26,F,M,I
27,F,F,O
28,F,F,I
29,F,F,O
30,F,F,I
31,F,F,O
32,F,M,I
33,F,F,I
34,F,F,O
35,F,F,O
36,F,F,I
37,F,F,I
38,F,F,O
39,F,F,O
40,F,F,O
