,Instructions,Face,Scene
0,g,g,g
1,F,F,I
2,F,F,I
3,F,F,O
4,F,F,I
5,F,F,I
6,F,F,O
7,F,F,O
8,F,F,O
9,F,M,I
10,F,F,O
11,F,F,I
12,F,F,I
13,F,F,O
14,F,F,I
15,F,F,O
16,F,M,O
17,F,F,I
18,F,F,O
19,F,F,O
20,F,F,O
21,F,F,I
22,F,F,I
23,F,F,I
24,F,F,I
25,F,F,O
26,F,F,O
27,F,F,I
28,F,F,I
29,F,F,O
30,F,M,O
31,F,F,I
32,F,M,O
33,F,F,O
34,F,F,O
35,F,F,I
36,F,F,O
37,F,F,I
38,F,F,O
39,F,F,I
40,F,F,O
