,Instructions,Face,Scene
0,g,g,g
1,M,F,I
2,M,M,I
3,M,M,O
4,M,M,O
5,M,M,I
6,M,M,O
7,M,M,I
8,M,M,I
9,M,M,I
10,M,F,I
11,M,M,O
12,M,M,I
13,M,M,O
14,M,M,I
15,M,M,O
16,M,M,O
17,M,M,O
18,M,M,O
19,M,M,O
20,M,M,O
21,M,M,O
22,M,M,O
23,M,M,I
24,M,M,O
25,M,M,I
26,M,M,O
27,M,M,O
28,M,M,O
29,M,M,I
30,M,M,I
31,M,M,O
32,M,M,I
33,M,F,I
34,M,M,I
35,M,M,O
36,M,M,O
37,M,F,O
38,M,M,I
39,M,M,O
40,M,M,I
