,Instructions,Face,Scene
0,g,g,g
1,O,M,O
2,O,F,O
3,O,F,O
4,O,M,I
5,O,M,O
6,O,F,O
7,O,F,O
8,O,M,O
9,O,M,O
10,O,F,O
11,O,F,O
12,O,M,O
13,O,M,O
14,O,M,O
15,O,M,O
16,O,M,I
17,O,M,O
18,O,M,O
19,O,F,O
20,O,F,O
21,O,M,O
22,O,F,O
23,O,M,O
24,O,M,O
25,O,M,O
26,O,M,O
27,O,F,O
28,O,M,O
29,O,F,O
30,O,M,I
31,O,M,O
32,O,M,I
33,O,F,O
34,O,F,O
35,O,M,O
36,O,M,O
37,O,F,O
38,O,M,O
39,O,F,O
40,O,M,O
