,Mean,Std
Fz,0.1842051031711711,7.086522013834304
C3,-0.03334367681278382,6.055943810345114
Cz,0.030578514605317127,6.872634032862967
C4,0.05515692142288756,5.32823718514505
Pz,-0.087963285929283,5.834559778660837
Po7,-0.07532127696651823,5.224738308948759
Oz,-0.11718337655206013,5.001106952970883
Po8,-0.08231958963591504,4.545163862361922
