,Instructions,Face,Scene
0,g,g,g
1,I,F,I
2,I,F,I
3,I,F,I
4,I,M,O
5,I,F,I
6,I,F,I
7,I,M,I
8,I,M,I
9,I,F,I
10,I,M,I
11,I,F,I
12,I,F,I
13,I,F,I
14,I,M,I
15,I,F,I
16,I,F,I
17,I,F,O
18,I,M,O
19,I,F,I
20,I,F,I
21,I,M,I
22,I,M,I
23,I,F,I
24,I,F,I
25,I,M,I
26,I,F,I
27,I,M,I
28,I,F,I
29,I,M,I
30,I,F,O
31,I,M,I
32,I,M,I
33,I,M,I
34,I,M,I
35,I,M,I
36,I,F,I
37,I,M,I
38,I,M,I
39,I,F,I
40,I,M,I
