0,1,2,3,4,5,6,7
-2.3393237500067743,-2.339426906520768,-2.3392482833407353,-2.3392417284012224,-2.3393213536837,-2.3393165574019847,-2.3392839630994398,-2.3392807338154347
-2.3391755210947753,-2.3392786090711897,-2.3391000292467155,-2.339093487510509,-2.3391730891712297,-2.33916831644698,-2.3391357448156613,-2.3391325361670745
-2.3390272921827764,-2.339130311621611,-2.338951775152696,-2.3389452466197955,-2.3390248246587597,-2.3390200754919754,-2.338987526531883,-2.3389843385187143
-2.3388790632707774,-2.3389820141720326,-2.3388035210586766,-2.3387970057290826,-2.3388765601462906,-2.338871834536971,-2.3388393082481036,-2.338836140870354
-2.3387308343587785,-2.3388337167224544,-2.3386552669646568,-2.338648764838369,-2.3387282956338207,-2.338723593581966,-2.3386910899643256,-2.338687943221994
-2.33858260544678,-2.3386854192728763,-2.338507012870637,-2.338500523947656,-2.33858003112135,-2.3385753526269615,-2.3385428716805468,-2.338539745573634
-2.338434376534781,-2.338537121823298,-2.338358758776617,-2.3383522830569423,-2.3384317666088807,-2.338427111671957,-2.3383946533967683,-2.3383915479252737
-2.3382861476227816,-2.3383888243737196,-2.338210504682598,-2.338204042166229,-2.338283502096411,-2.338278870716952,-2.3382464351129904,-2.3382433502769135
-2.3381379187107827,-2.3382405269241415,-2.3380622505885778,-2.3380558012755164,-2.338135237583941,-2.338130629761947,-2.3380982168292115,-2.3380951526285534
-2.3379896897987837,-2.338092229474563,-2.3379139964945588,-2.3379075603848025,-2.337986973071471,-2.3379823888069424,-2.337949998545433,-2.3379469549801932
-2.337841460886785,-2.337943932024985,-2.337765742400539,-2.3377593194940895,-2.3378387085589996,-2.3378341478519378,-2.3378017802616546,-2.337798757331833
-2.3376932319747854,-2.3377956345754063,-2.3376174883065195,-2.3376110786033766,-2.3376904440465305,-2.337685906896933,-2.3376535619778767,-2.337650559683473
-2.3375450030627865,-2.337647337125828,-2.3374692342124996,-2.337462837712663,-2.3375421795340605,-2.3375376659419285,-2.337505343694098,-2.3375023620351123
-2.337396774150788,-2.3374990396762496,-2.33732098011848,-2.3373145968219498,-2.3373939150215897,-2.337389424986924,-2.337357125410319,-2.337354164386752
-2.3372485452387894,-2.3373507422266715,-2.337172726024461,-2.337166355931237,-2.3372456505091206,-2.337241184031919,-2.3372089071265405,-2.337205966738392
-2.33710031632679,-2.337202444777093,-2.337024471930441,-2.337018115040523,-2.3370973859966506,-2.3370929430769145,-2.337060688842762,-2.337057769090032
-2.336952087414791,-2.337054147327515,-2.3368762178364215,-2.3368698741498095,-2.3369491214841798,-2.33694470212191,-2.3369124705589837,-2.3369095714416717
-2.3368038585027926,-2.3369058498779367,-2.3367279637424017,-2.336721633259097,-2.3368008569717107,-2.336796461166905,-2.3367642522752052,-2.3367613737933115
-2.336655629590793,-2.336757552428358,-2.336579709648382,-2.3365733923683836,-2.3366525924592407,-2.3366482202119006,-2.336616033991427,-2.3366131761449513
-2.3365074006787943,-2.33660925497878,-2.3364314555543624,-2.33642515147767,-2.3365043279467703,-2.3364999792568955,-2.3364678157076484,-2.336464978496591
-2.3363591717667953,-2.3364609575292015,-2.336283201460343,-2.336276910586957,-2.3363560634343004,-2.336351738301891,-2.33631959742387,-2.336316780848231
-2.3362109428547964,-2.3363126600796233,-2.336134947366323,-2.3361286696962438,-2.3362077989218304,-2.336203497346886,-2.3361713791400915,-2.336168583199871
-2.336062713942797,-2.336164362630045,-2.335986693272304,-2.33598042880553,-2.3360595344093604,-2.3360552563918815,-2.336023160856313,-2.3360203855515107
-2.335914485030798,-2.3360160651804667,-2.335838439178284,-2.3358321879148174,-2.3359112698968905,-2.335907015436877,-2.3358749425725347,-2.3358721879031505
-2.335766256118799,-2.335867767730888,-2.3356901850842644,-2.335683947024104,-2.3357630053844205,-2.335758774481872,-2.3357267242887563,-2.3357239902547904
-2.3356180272068006,-2.33571947028131,-2.3355419309902445,-2.335535706133391,-2.3356147408719505,-2.335610533526867,-2.3355785060049787,-2.3355757926064302
-2.318287483992709,-2.318393174106405,-2.3182228095363477,-2.318209656839222,-2.318285420973199,-2.3182904234175465,-2.318261058146408,-2.3182617015666716
-2.325263872050506,-2.3253750872675507,-2.325209556248561,-2.325185394374246,-2.3252598381125686,-2.325268074011015,-2.3252466562158847,-2.325250825631065
-2.2711902929096937,-2.271310058373267,-2.27114624664882,-2.271109590939427,-2.271188080300452,-2.27120443858802,-2.27118916632069,-2.2711936672966484
-2.098815150321919,-2.0989436708135583,-2.098782573041708,-2.0987322680720593,-2.098821730664482,-2.09885804455543,-2.09884263304927,-2.0988413634886096
-1.8498645969658127,-1.849994473518987,-1.849844814640273,-1.849778793469812,-1.849882675445271,-1.8499448384068307,-1.849924597123128,-1.8499119036225364
-1.6162290024575703,-1.616349183727106,-1.6162228049604845,-1.6161401200821628,-1.6162567632149805,-1.6163377922226196,-1.616311742324699,-1.6162862623084813
-1.450237572153584,-1.4503423518838712,-1.4502455794890943,-1.450148918595341,-1.4502748207831184,-1.4503601687441425,-1.45032863642979,-1.450294006992338
-1.335545456490459,-1.3356377981492744,-1.3355684584152392,-1.3354629062443337,-1.335596187629749,-1.3356750904690091,-1.3356376601419933,-1.3355986983444725
-1.2279571204196178,-1.2280430406415113,-1.2279947937452071,-1.2278829940786709,-1.2280238522834321,-1.2280960140377353,-1.2280524876257886,-1.228010565794005
-1.10215367509175,-1.102235204679673,-1.1022020369966479,-1.1020811223814537,-1.1022302807693507,-1.1023034887266863,-1.1022556402481978,-1.1022082817432228
-0.9593384735084577,-0.9594129492661498,-0.959389604333049,-0.9592539355558375,-0.9594107500028657,-0.9594943525383016,-0.9594455293976787,-0.9593898699252034
-0.8110816501036858,-0.811145936179563,-0.8111281523733747,-0.8109747382939568,-0.8111358391773702,-0.8112361286419534,-0.8111893587241961,-0.8111246922204406
-0.6690255141129845,-0.6690787738216739,-0.6690663406262788,-0.6688971405794575,-0.6690564977263742,-0.6691745715329734,-0.6691321449038364,-0.6690592570520522
-0.5410900048383797,-0.5411329138247943,-0.5411310067095212,-0.5409516703891188,-0.5411024433432209,-0.5412338860657201,-0.5411984333823261,-0.541117832128675
-0.4254312102956422,-0.42546452791294587,-0.42547848683902645,-0.4252971237774017,-0.42543427777557064,-0.4255721955150509,-0.42554590796751846,-0.4254572153263854
-0.31087220671101534,-0.31089677149927125,-0.3109244318902971,-0.3107512822164601,-0.3108732491584043,-0.31101358092751047,-0.31099479851554246,-0.31089739090255586
-0.19015487263913605,-0.19017177393538465,-0.19020256235723637,-0.1900482791013224,-0.19015662335788874,-0.19030047408699535,-0.19028204190544898,-0.19017621569560098
-0.06887689606183833,-0.06888661230320503,-0.0689095573984616,-0.06878149909145918,-0.06887925965350801,-0.06902961648960954,-0.06900272430131832,-0.06889070204466467
0.044254135798117086,0.044252783183232516,0.044240510164784,0.044341422606927194,0.04425045907661629,0.04409378436690527,0.04413334672769882,0.04424737010059615
0.1501411462677904,0.15015129058393523,0.15014395798596558,0.15022326264212865,0.15013386591561698,0.14997553072586906,0.15002521460709972,0.15013639469403003
0.25480484111230456,0.25483057035544254,0.25482062033454855,0.25488693785196437,0.2547937423962004,0.25463891204952727,0.25469319936524637,0.2547978729174902
0.35770233221962855,0.35774592518888987,0.35773002327925074,0.3577901037490133,0.35769213321655663,0.3575408846583801,0.35759695030537914,0.3576933194376001
0.45394240380024575,0.4540017800347371,0.4539808147695935,0.45403646369733924,0.4539393196391749,0.4537849575787807,0.45384538979549083,0.4539324562001367
0.5446443866318318,0.5447144045528767,0.544688798670729,0.5447384053833707,0.5446501043147216,0.5444836059239586,0.5445544468719989,0.5446304030663813
0.6351620210407996,0.6352393315946956,0.6352051710470186,0.6352479688716777,0.6351730848698752,0.6349900791958974,0.635075959740902,0.635138134354674
0.7246746399954898,0.7247608467599904,0.7247113747562403,0.7247490913559713,0.7246877137035355,0.7244917779475745,0.7245919226534617,0.7246391295012117
0.8829791575732263,0.8830937444680665,0.8830099701562181,0.883037205660295,0.8829999328444557,0.8828022269905591,0.8829107718332214,0.8829398639559118
0.8831273864852252,0.8832420419176451,0.8831582242502374,0.8831854465510082,0.8831481973569257,0.8829504679455639,0.8830589901169998,0.8830880616042721
0.9585506582095555,0.9586784769390334,0.9585875807534707,0.9586027514062337,0.9585753035652125,0.9583839920811035,0.9584886513446175,0.9585174666414976
1.0349634357840114,1.0351000422245775,1.0350089781770526,1.0350088397268997,1.0349860330869596,1.0348028826832605,1.0349046583372457,1.03493478931687
1.1067119542044326,1.1068530332310815,1.1067638782326497,1.1067509299426714,1.1067261177561556,1.1065529860740053,1.106655484144209,1.1066837478348424
1.1720652026859095,1.1722073830139426,1.1721187374189945,1.172100157445975,1.1720686099959552,1.1719066641030702,1.1720124895992157,1.172033511494297
1.2367751952091042,1.2369167607913554,1.2368268088819243,1.2368096998930584,1.2367708763031184,1.236618219245213,1.236727574451014,1.236737990896891
1.303654697229656,1.30379650954784,1.3037045148879634,1.30369138812,1.3036493503792213,1.3035003032235306,1.3036116918402745,1.3036137944877948
1.3676860277205511,1.3678309015538428,1.3677371057378322,1.3677253062357615,1.3676865827670674,1.3675341470845714,1.3676456085935051,1.3676476936530724
1.425780854026937,1.4259312762926197,1.4258366064506522,1.4258216677617417,1.425790778781883,1.4256307899670886,1.4257410722184813,1.4257531434674848
1.4828989307028815,1.4830555032942498,1.4829608211195417,1.4829402390728608,1.4829166375017104,1.4827506099318892,1.482859775096243,1.4828871303169266
1.5430545903024253,1.543216155891117,1.5431204943195076,1.5430951807020683,1.5430749421402958,1.5429093805347407,1.5430183233353505,1.5430584214791445
1.602020710928497,1.6021848769470186,1.602084800971618,1.6020580399806237,1.602037982104725,1.6018798786737838,1.6019896964009097,1.6020353490686299
1.6553734650772947,1.655537044191949,1.6554292732050364,1.6554038317347919,1.6553836347258308,1.6552346180460218,1.655346976748643,1.6553928455570868
1.7068264576349748,1.7069862709829973,1.7068710799169604,1.706845989575356,1.7068278720126935,1.7066819559119255,1.7067994998476756,1.7068459135705498
1.7612692150389564,1.7614222163604911,1.7613034963956,1.7612734506697423,1.7612611470313222,1.7611096246492304,1.7612346407031543,1.7612859386955602
1.8155583501052008,1.8157001967886055,1.8155828280544823,1.8155412737465442,1.8155382028407792,1.815378527075907,1.8155105965140916,1.8155700608326584
1.8643303840921348,1.8644551786222123,1.8643434360387119,1.8642863408628947,1.8642929836987114,1.864132888752426,1.8642684790246065,1.864334036765293
