323194.96875,293435.78125,338305.5625,413566.9375,264093.375,299384.46875,303039.25,291381.1875,0.052978515625,0.984130859375,-0.1884765625,-0.0915527269244194,0.5493163466453552,0.3051757514476776,60.0,1251.0,1.0,M,F,I,0
323199.8125,293442.5625,338311.0,413571.5625,264100.1875,299393.0625,303047.28125,291387.625,0.0546875,0.9833984375,-0.18994140625,-0.1220703050494194,0.3356933295726776,0.2441406100988388,60.0,1252.0,1.0,M,F,I,0
323188.625,293435.15625,338301.28125,413560.9375,264091.875,299384.90625,303039.34375,291379.21875,0.054443359375,0.986083984375,-0.189697265625,-0.03051757626235485,0.3051757514476776,0.1831054538488388,60.0,1253.0,1.0,M,F,I,0
323193.28125,293438.90625,338304.9375,413563.625,264095.15625,299384.09375,303039.6875,291382.1875,0.0576171875,0.986083984375,-0.191162109375,-0.0610351525247097,0.1220703050494194,0.2746581733226776,60.0,1254.0,1.0,M,F,I,0
323203.28125,293446.59375,338314.0625,413571.5625,264104.5625,299392.5,303048.4375,291391.46875,0.05712890625,0.9853515625,-0.1904296875,-0.03051757626235485,-0.0610351525247097,0.2441406100988388,60.0,1255.0,1.0,M,F,I,0
323211.96875,293453.90625,338321.46875,413577.21875,264111.625,299399.9375,303054.875,291398.0,0.0576171875,0.986328125,-0.19091796875,-0.0915527269244194,-0.0915527269244194,0.2136230319738388,60.0,1256.0,1.0,M,F,I,0
323201.3125,293444.09375,338309.84375,413563.53125,264100.1875,299388.03125,303044.59375,291386.65625,0.060302734375,0.985107421875,-0.1884765625,-0.0915527269244194,-0.2746581733226776,0.1831054538488388,60.0,1257.0,1.0,M,F,I,0
323195.78125,293436.75,338302.15625,413554.3125,264093.125,299380.625,303036.75,291378.78125,0.0615234375,0.985595703125,-0.187255859375,-0.0610351525247097,-0.2441406100988388,0.3967284858226776,60.0,1258.0,1.0,M,F,I,0
323209.90625,293449.4375,338315.46875,413565.75,264107.15625,299395.46875,303051.3125,291392.90625,0.063232421875,0.986328125,-0.18701171875,-0.1525878757238388,-0.2136230319738388,0.3967284858226776,60.0,1259.0,1.0,M,F,I,0
323223.5,293465.46875,338330.0625,413579.34375,264121.90625,299411.8125,303065.8125,291407.5625,0.064697265625,0.98583984375,-0.18994140625,-0.2441406100988388,-0.2441406100988388,0.4882812201976776,60.0,1260.0,1.0,M,F,I,0
323208.125,293451.59375,338314.5,413562.375,264106.625,299396.96875,303050.0625,291393.09375,0.064697265625,0.986083984375,-0.189208984375,-0.2136230319738388,-0.1525878757238388,0.5187987685203552,60.0,1261.0,1.0,M,F,I,0
323198.1875,293440.34375,338303.59375,413549.40625,264095.53125,299386.15625,303037.625,291380.75,0.064208984375,0.986328125,-0.18798828125,-0.2441406100988388,-0.0915527269244194,0.6713866591453552,60.0,1262.0,1.0,M,F,I,0
323202.125,293442.3125,338307.25,413553.25,264099.65625,299389.21875,303041.9375,291385.21875,0.063232421875,0.98583984375,-0.18798828125,-0.2746581733226776,-0.03051757626235485,0.6713866591453552,60.0,1263.0,1.0,M,F,I,0
323215.8125,293455.09375,338320.59375,413565.0625,264112.96875,299402.875,303055.875,291398.53125,0.06298828125,0.98779296875,-0.189697265625,-0.2136230319738388,-0.03051757626235485,0.7324218153953552,60.0,1264.0,1.0,M,F,I,0
323210.09375,293450.34375,338313.15625,413556.28125,264106.625,299395.8125,303050.34375,291393.71875,0.06494140625,0.98876953125,-0.187744140625,-0.2136230319738388,0.03051757626235485,0.8850097060203552,60.0,1265.0,1.0,M,F,I,0
323198.46875,293440.6875,338301.28125,413543.21875,264096.4375,299385.90625,303041.125,291384.0625,0.06396484375,0.988525390625,-0.1884765625,-0.2746581733226776,0.0915527269244194,0.8239745497703552,60.0,1266.0,1.0,M,F,I,0
323204.625,293447.03125,338307.875,413547.71875,264103.84375,299392.78125,303047.8125,291390.6875,0.064453125,0.986572265625,-0.190673828125,-0.4272460639476776,0.1220703050494194,0.7934569716453552,60.0,1267.0,1.0,M,F,I,0
323219.28125,293460.1875,338321.03125,413560.75,264117.4375,299405.03125,303060.0,291403.1875,0.064697265625,0.984375,-0.189208984375,-0.5187987685203552,0.1831054538488388,0.7934569716453552,60.0,1268.0,1.0,M,F,I,0
323219.65625,293461.4375,338319.59375,413557.375,264115.1875,299404.59375,303058.65625,291401.59375,0.0625,0.9853515625,-0.191162109375,-0.5798339247703552,0.1525878757238388,0.7934569716453552,60.0,1269.0,1.0,M,F,I,0
323208.84375,293451.6875,338307.875,413542.875,264103.75,299394.5625,303047.1875,291389.6875,0.0634765625,0.9853515625,-0.1875,-0.5187987685203552,0.1525878757238388,0.7324218153953552,60.0,1270.0,1.0,M,F,I,0
323211.15625,293453.28125,338309.40625,413543.59375,264107.0625,299397.34375,303050.0625,291392.90625,0.064697265625,0.984375,-0.18896484375,-0.5187987685203552,0.1831054538488388,0.7019042372703552,60.0,1271.0,1.0,M,F,I,0
323225.8125,293467.78125,338323.34375,413557.4375,264123.5,299412.625,303065.4375,291408.90625,0.064697265625,0.9814453125,-0.187744140625,-0.4882812201976776,0.2136230319738388,0.6713866591453552,60.0,1272.0,1.0,M,F,I,0
323220.375,293464.65625,338319.78125,413553.15625,264120.75,299410.46875,303063.75,291406.78125,0.065673828125,0.982421875,-0.18701171875,-0.6408690810203552,0.1831054538488388,0.5187987685203552,60.0,1273.0,1.0,M,F,I,0
