359239.75,350424.5,363074.96875,347248.21875,340966.75,345657.21875,324760.84375,341471.46875,-0.0537109375,0.89794921875,-0.40283203125,-3.204345464706421,-3.753661870956421,-2.685546636581421,93.33334350585938,28001.0,1.0
359239.03125,350422.53125,363026.15625,347236.96875,340917.6875,345655.96875,324753.59375,341441.96875,-0.05078125,0.897705078125,-0.40234375,-3.082275152206421,-3.662109136581421,-2.807616949081421,93.33334350585938,28002.0,1.0
359237.0625,350426.46875,363088.09375,347252.0625,340979.71875,345665.28125,324765.0625,341489.4375,-0.05126953125,0.89794921875,-0.40087890625,-2.990722417831421,-3.601073980331421,-3.021239995956421,93.33334350585938,28003.0,1.0
359237.0625,350431.1875,363138.15625,347262.8125,341030.5,345674.03125,324772.5625,341528.59375,-0.049072265625,0.897705078125,-0.400634765625,-2.777099370956421,-3.387450933456421,-3.173827886581421,93.33334350585938,28004.0,1.0
359237.6875,350428.25,363076.65625,347248.125,340969.09375,345668.65625,324762.0,341490.0625,-0.0478515625,0.8974609375,-0.40283203125,-2.746581792831421,-3.082275152206421,-3.356933355331421,93.33334350585938,28005.0,1.0
359238.875,350423.4375,363019.4375,347235.8125,340911.15625,345665.28125,324760.84375,341455.09375,-0.044189453125,0.89794921875,-0.404296875,-2.593993902206421,-2.899169683456421,-3.417968511581421,93.33334350585938,28006.0,1.0
359237.625,350423.25,363080.21875,347247.59375,340972.84375,345674.21875,324770.40625,341490.25,-0.044677734375,0.895751953125,-0.402587890625,-2.502441167831421,-2.746581792831421,-3.448486089706421,93.33334350585938,28007.0,1.0
359234.125,350424.21875,363149.25,347261.09375,341042.5625,345677.15625,324772.75,341529.84375,-0.0439453125,0.894775390625,-0.400634765625,-2.380370855331421,-2.441406011581421,-3.509521245956421,93.33334350585938,28008.0,1.0
359230.1875,350418.5,363098.375,347247.59375,340990.90625,345666.34375,324760.59375,341498.0,-0.043212890625,0.89453125,-0.3994140625,-2.258300542831421,-2.075195074081421,-3.509521245956421,93.33334350585938,28009.0,1.0
359235.8125,350420.46875,363027.9375,347235.4375,340920.09375,345663.03125,324753.25,341443.5625,-0.042724609375,0.89208984375,-0.39892578125,-1.9836424589157104,-1.8615721464157104,-3.417968511581421,93.33334350585938,28010.0,1.0
359239.21875,350429.0625,363069.78125,347248.59375,340962.8125,345670.28125,324760.40625,341463.15625,-0.041748046875,0.89208984375,-0.3994140625,-1.9531248807907104,-1.5258787870407104,-3.448486089706421,93.33334350585938,28011.0,1.0
359242.15625,350437.625,363158.71875,347267.4375,341052.40625,345678.0625,324773.8125,341514.71875,-0.042236328125,0.891357421875,-0.398681640625,-1.7395018339157104,-1.2207030057907104,-3.448486089706421,93.33334350585938,28012.0,1.0
359244.125,350434.25,363140.21875,347257.53125,341033.71875,345665.90625,324761.375,341494.78125,-0.042724609375,0.88916015625,-0.400146484375,-1.5869139432907104,-0.8544921278953552,-3.448486089706421,93.33334350585938,28013.0,1.0
359243.4375,350424.6875,363060.125,347235.96875,340952.53125,345651.5,324745.375,341436.15625,-0.041015625,0.887939453125,-0.39892578125,-1.5258787870407104,-0.4577636420726776,-3.479003667831421,93.33334350585938,28014.0,1.0
359244.21875,350426.5625,363080.9375,347241.53125,340973.375,345654.28125,324751.0,341451.78125,-0.0439453125,0.887939453125,-0.398681640625,-1.3122557401657104,-0.0915527269244194,-3.509521245956421,93.33334350585938,28015.0,1.0
359254.25,350445.5,363174.03125,347273.09375,341067.4375,345678.96875,324779.8125,341523.40625,-0.046875,0.887939453125,-0.398681640625,-1.0986326932907104,0.0915527269244194,-3.631591558456421,93.33334350585938,28016.0,1.0
359244.75,350437.375,363150.25,347265.75,341044.71875,345672.875,324770.6875,341509.90625,-0.048095703125,0.887939453125,-0.400146484375,-0.7934569716453552,0.3662109076976776,-3.692626714706421,93.33334350585938,28017.0,1.0
359242.71875,350427.0,363054.5,347242.25,340948.15625,345660.1875,324753.25,341443.125,-0.050537109375,0.886962890625,-0.39794921875,-0.5187987685203552,0.5187987685203552,-3.662109136581421,93.33334350585938,28018.0,1.0
359247.625,350427.8125,363052.875,347243.5,340947.09375,345660.53125,324756.46875,341440.875,-0.05126953125,0.885498046875,-0.398681640625,-0.3051757514476776,0.9155272841453552,-3.631591558456421,93.33334350585938,28019.0,1.0
359246.90625,350430.75,363136.84375,347260.46875,341031.21875,345667.15625,324764.4375,341495.875,-0.04931640625,0.887451171875,-0.39697265625,-0.03051757626235485,1.0986326932907104,-3.662109136581421,93.33334350585938,28020.0,1.0
359251.75,350437.375,363160.15625,347265.21875,341054.65625,345672.53125,324769.4375,341510.53125,-0.05078125,0.88720703125,-0.399169921875,0.0610351525247097,1.2817381620407104,-3.601073980331421,93.33334350585938,28021.0,1.0
359253.875,350435.84375,363087.9375,347249.84375,340981.78125,345667.59375,324766.03125,341466.0,-0.051513671875,0.88720703125,-0.39892578125,0.3051757514476776,1.5563963651657104,-3.479003667831421,93.33334350585938,28022.0,1.0
359255.65625,350438.1875,363065.46875,347248.03125,340958.875,345669.9375,324769.34375,341454.90625,-0.0478515625,0.89013671875,-0.39892578125,0.3662109076976776,1.8615721464157104,-3.448486089706421,93.33334350585938,28023.0,1.0
359250.03125,350438.625,363132.96875,347262.8125,341026.46875,345672.875,324776.3125,341505.625,-0.048828125,0.891845703125,-0.39892578125,0.6103515028953552,2.014159917831421,-3.387450933456421,93.33334350585938,28024.0,1.0
