Fz,FC1,FC2,C3,Cz,C4,CPz,Pz
-0.5461852537136582,-9.851078171652365,-0.1565843563326865,-0.5249248752855056,-0.7596783318057153,2.4516385385238206,-0.564540183466224,-3.885090669078921
0.8930257968824125,-8.509040286088815,1.908040944761377,1.2335378846600749,2.0542937542027,3.448141703351594,1.779891495533554,-1.2885643546151464
0.9133499612282996,-7.984137218362106,2.9228839431268723,1.8944134884605568,2.986744895200858,4.200778529432133,3.471643612468346,0.6681195701938475
-0.829582699585363,-8.422677413687069,2.523037323903695,1.3457946851091798,2.2819787541511327,4.190592243150469,4.128644749129824,1.8970953008199316
-4.064779615366801,-9.709464637266358,0.7917215219080291,-0.1423099888676287,0.861869785260614,3.2314842523696186,3.727984177664066,2.5445875876009043
-7.997460103723077,-11.518571847226257,-1.7765039195016636,-2.068299067869996,-0.6160627317682177,1.5458482940675755,2.56885484248228,2.815593369591517
-11.523839489220553,-14.893831503496358,-7.165397053625016,-5.79636072695978,-3.048337467391773,-2.377534310687327,-0.5175360377129821,2.457491556279069
-10.851049246794942,-16.316818089482997,-9.611864809970024,-7.6348542368791374,-4.448875368326197,-4.261706734102107,-2.19861873409528,1.613666896005934
-13.350673349749991,-18.031707747293297,-12.11957116330674,-9.75889185751286,-6.7966500634831375,-6.200783499277296,-4.150329937105681,0.1408540091265497
-13.350673349749991,-18.031707747293297,-12.119571163306745,-9.75889185751286,-6.796650063483137,-6.200783499277297,-4.150329937105681,0.1408540091265491
-15.898852328149824,-20.05282023687098,-14.761630652454286,-12.222214119615447,-10.137174430857158,-8.179990622231424,-6.404896102770145,-1.9550654356514052
-18.322804955209165,-21.89080749950728,-17.292104778928238,-14.773699833712854,-13.41513373064204,-9.938218541986531,-8.689191488993433,-4.470483546921037
-20.21313100370092,-23.054808930073957,-19.289264880469094,-16.96947520746916,-15.403795648769336,-11.118760114200596,-10.551897006910195,-7.066511663716524
-21.232135156953717,-23.375714182450523,-20.41744044184644,-18.41347876309736,-15.894087515556098,-11.498108283243225,-11.640222342096765,-9.417434023496794
-21.32523534133468,-22.813465696765807,-20.57865266219846,-18.95399100031672,-15.543842797255651,-11.087806942468855,-11.875573797120824,-11.328409758056504
-20.694585692436824,-21.30988043111077,-19.90886577428315,-18.7122320756464,-14.870961149055628,-10.086035926009869,-11.441103597488349,-12.750168897321997
-19.605456117397654,-19.012695085658137,-18.68502332381384,-17.95149791721167,-13.990764415163383,-8.772839783948315,-10.659736250957325,-13.72915798271712
-21.624719894324414,-16.397129994990287,-17.20755308090969,-16.91473446489685,-13.127562798844425,-7.433726205652711,-9.85503328003954,-14.361204037108225
-23.335900829382727,-13.981219635347554,-15.732000435714928,-15.762679914473113,-12.666533380027898,-6.354108051578139,-9.255346835743808,-14.760454726509618
-21.61805906456146,-12.089437076825329,-14.500152558971298,-14.62425461649708,-12.667819484665124,-5.858983740615713,-8.985702013315732,-15.024768487207393
-20.05191559646171,-10.979590415598755,-13.786977734932028,-13.649656120866732,-12.892111332012616,-6.280052261425245,-9.117532227001956,-15.20072287972549
-18.927907207808637,-10.89281151678466,-13.807959573709194,-12.96854958287414,-13.325018499476409,-7.761595094316381,-9.661409858033508,-15.25859790779306
-18.344656459180307,-11.7271820583383,-14.509649900762328,-12.58270536952679,-14.118159365428363,-10.031565029509732,-10.46327957918851,-15.075585300378014
-18.09592855717416,-12.878378097607976,-15.492224623466033,-12.316247732732496,-14.98987965004646,-12.414418140557247,-11.151086739327583,-14.449472678257134
