Fz,FC1,FC2,C3,Cz,C4,CPz,Pz
-7.939440887029739,-63.359583953631414,1.2129341068593122,-6.656904408695219,98.02812723700488,-7.0732201579277385,5.591716555275548,-8.38590797441419
-7.939440887029739,-63.359583953631414,1.2129341068593122,-6.656904408695219,98.02812723700488,-7.0732201579277385,5.591716555275548,-8.38590797441419
-7.939440887029739,-63.359583953631414,1.2129341068593122,-6.656904408695219,98.02812723700488,-7.0732201579277385,5.591716555275548,-8.38590797441419
-7.939440887029739,-63.359583953631414,1.2129341068593122,-6.656904408695219,98.02812723700488,-7.0732201579277385,5.591716555275548,-8.38590797441419
-7.939440887029739,-63.359583953631414,1.2129341068593122,-6.656904408695219,98.02812723700488,-7.0732201579277385,5.591716555275548,-8.385907974414188
-7.939440887029739,-63.359583953631414,1.2129341068593122,-6.656904408695219,98.02812723700488,-7.0732201579277385,5.591716555275548,-8.385907974414188
-7.939440887029739,-63.359583953631414,1.2129341068593122,-6.656904408695219,98.02812723700488,-7.073220157927739,5.591716555275546,-8.385907974414188
-7.939440887029739,-63.359583953631414,1.2129341068593122,-6.656904408695219,98.0281272370049,-7.0732201579277385,5.591716555275546,-8.385907974414188
-7.939440887029739,-63.359583953631414,1.2129341068593122,-6.656904408695219,98.02812723700488,-7.0732201579277385,5.591716555275546,-8.385907974414188
-7.939440887029739,-63.359583953631414,1.2129341068593122,-6.656904408695219,98.02812723700488,-7.0732201579277385,5.591716555275548,-8.385907974414188
-7.939440887029739,-63.359583953631414,1.2129341068593122,-6.656904408695219,98.0281272370049,-7.0732201579277385,5.591716555275546,-8.385907974414188
-7.939440887029739,-63.359583953631414,1.2129341068593122,-6.656904408695219,98.02812723700488,-7.0732201579277385,5.591716555275548,-8.38590797441419
-7.939440887029739,-63.359583953631414,1.2129341068593122,-6.656904408695219,98.02812723700488,-7.0732201579277385,5.591716555275546,-8.385907974414188
-7.9394408870297415,-63.359583953631414,1.2129341068593122,-6.656904408695219,98.02812723700488,-7.0732201579277385,5.591716555275548,-8.38590797441419
-7.939440887029739,-63.359583953631414,1.2129341068593122,-6.656904408695219,98.0281272370049,-7.073220157927739,5.591716555275548,-8.38590797441419
-7.939440887029739,-63.359583953631414,1.2129341068593122,-6.656904408695219,98.02812723700488,-7.0732201579277385,5.591716555275548,-8.385907974414188
-7.939440887029739,-63.359583953631414,1.2129341068593127,-6.656904408695219,98.02812723700488,-7.073220157927739,5.591716555275546,-8.385907974414188
-7.939440887029739,-63.359583953631414,1.2129341068593122,-6.656904408695219,98.02812723700488,-7.0732201579277385,5.591716555275548,-8.385907974414192
-7.939440887029739,-63.359583953631414,1.2129341068593122,-6.656904408695219,98.02812723700488,-7.0732201579277385,5.591716555275548,-8.385907974414188
-7.939440887029739,-63.359583953631414,1.2129341068593122,-6.656904408695219,98.02812723700488,-7.0732201579277385,5.591716555275548,-8.385907974414188
-7.939440887029739,-63.359583953631414,1.2129341068593122,-6.656904408695219,98.02812723700488,-7.073220157927739,5.591716555275548,-8.38590797441419
-7.939440887029739,-63.359583953631414,1.2129341068593122,-6.656904408695219,98.02812723700488,-7.0732201579277385,5.591716555275546,-8.385907974414188
-7.939440887029739,-63.359583953631414,1.2129341068593122,-6.656904408695219,98.02812723700488,-7.0732201579277385,5.591716555275548,-8.385907974414188
-7.939440887029739,-63.359583953631414,1.2129341068593122,-6.656904408695219,98.02812723700488,-7.0732201579277385,5.591716555275546,-8.385907974414188
-7.939440887029739,-63.359583953631414,1.2129341068593122,-6.656904408695219,98.02812723700488,-7.073220157927739,5.591716555275548,-8.38590797441419
-7.939440887029739,-63.35958395363141,1.2129341068593122,-6.656904408695221,98.02812723700488,-7.0732201579277385,5.591716555275546,-8.385907974414192
-8.000621139548159,-62.06865492040395,1.3683291613539927,-6.697977565751894,96.4875317020453,-7.3050786594425565,5.68541254559777,-8.34055745525207
-8.060538838534773,-60.75670711787462,1.5209895153050024,-6.734953674159466,94.91803112052895,-7.542647422659047,5.783555197908877,-8.289487626429594
-8.118849808075492,-59.42430741527028,1.669659593379132,-6.767554748360422,93.3201570907496,-7.786634456522721,5.884919074012754,-8.233015265883639
-8.175258530443157,-58.07201483975869,1.8130865453924558,-6.795590363819255,91.69443625065443,-8.037772572642226,5.988145121920395,-8.171579646579167
-8.229510008146315,-56.700380576448445,1.950072843183018,-6.818951390637363,90.04139027784446,-8.296789314555985,6.09177972667611,-8.105728347252333
-8.281380370198278,-55.309947968389,2.0795311105516556,-6.837602571713421,88.36153588957403,-8.564377776949266,6.194318795574933,-8.036098898150021
-8.329505961090184,-53.908066265942324,2.1997108519643493,-6.851438547917379,86.66292564538388,-8.840551167910387,6.29407972637895,-7.962705883205233
-8.37334460926669,-52.49762655501338,2.3096775420946924,-6.860545042168268,84.9486890046005,-9.12557923455703,6.38961512102023,-7.886105236112895
-8.412352104899444,-51.08179932215772,2.408756706561281,-6.865082283342279,83.22227376842493,-9.419558516396586,6.47961233762665,-7.806871629220337
-8.445994035561773,-49.66401454011362,2.4965708710209196,-6.865282231053124,81.48742552714879,-9.722391849976493,6.562944000566947,-7.725576626409758
-8.4737617668384,-48.24793534664419,2.573061534484403,-6.861444276774043,79.74816007623997,-10.033773884931051,6.63871057589591,-7.642765225817065
-8.495191501747108,-46.8374260450371,2.638494417049042,-6.853928808373544,78.00872956462351,-10.353182351528803,6.7062730812795595,-7.55893148389278
